,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
555,2005,Eddie Jones,SF,33.0,MIA,80.0,2839.0,13.6,0.556,0.466,0.263,1.6,14.5,11.5,1.6,1.0,9.8,16.6,4.2,3.8,8.0,0.135,1.5,0.9,0.372,0.477,0.806,6.7,4.1,7.2,1.6867469879518076,0,1
559,2005,Brent Barry,SG,33.0,SAS,81.0,1742.0,14.0,0.58,0.61,0.294,1.9,10.8,16.3,1.2,0.8,11.0,15.6,3.5,2.7,6.1,0.168,1.7,0.3,0.357,0.525,0.837,8.3,7.5,4.3,-3456.674473067915,1,1
560,2005,Bruce Bowen,SF,33.0,SAS,82.0,2627.0,9.5,0.521,0.423,0.187,2.2,10.5,7.5,1.1,1.1,8.1,12.5,2.1,4.0,6.1,0.111,-0.6,1.8,0.403,0.432,0.634,8.3,7.5,6.2,192.03747072599631,0,1
561,2005,Robert Horry,PF,34.0,SAS,75.0,1396.0,14.9,0.533,0.368,0.291,7.6,14.8,9.2,2.6,3.1,14.0,16.4,1.4,3.1,4.6,0.157,-0.1,3.6,0.37,0.447,0.789,8.3,7.5,3.6,-2546.5838509316754,1,1
563,2005,Juwan Howard,PF,31.0,HOU,61.0,1624.0,13.0,0.494,0.002,0.213,9.3,15.4,10.2,1.1,0.2,11.8,19.5,1.0,2.2,3.2,0.094,-1.8,0.6,0.0,0.452,0.843,4.3,-1.7,3.7,1830.3571428571427,0,0
566,2005,David Wesley,SG,34.0,HOU,54.0,1840.0,11.6,0.536,0.472,0.227,1.7,7.2,14.0,1.8,0.3,9.7,15.5,2.2,2.2,4.4,0.115,0.9,0.6,0.383,0.422,0.841,4.3,-1.7,3.6,-2129.87012987013,1,1
568,2005,Jason Kidd,PG,31.0,NJN,66.0,2435.0,19.5,0.506,0.419,0.225,4.6,19.8,40.6,2.7,0.3,15.1,21.3,3.1,4.2,7.2,0.143,3.6,2.0,0.36,0.425,0.74,-1.7,1.5,10.1,575.3968253968254,0,1
571,2005,Marcus Camby,C,30.0,DEN,66.0,2015.0,18.0,0.505,0.007,0.288,7.5,30.1,12.0,1.6,7.4,13.2,17.2,1.2,4.5,5.8,0.138,-2.4,5.8,0.0,0.468,0.723,2.2,0.3,5.5,-73.89162561576353,1,1
573,2005,Sam Cassell,PG,35.0,MIN,59.0,1522.0,18.6,0.529,0.15,0.226,2.0,9.5,35.2,1.3,0.7,12.6,26.4,2.8,1.0,3.8,0.119,2.5,-2.0,0.262,0.5,0.865,1.6,-2.0,7.6,173.91304347826087,0,1
582,2005,Michael Finley,SG,31.0,DAL,64.0,2358.0,14.3,0.519,0.314,0.15,2.2,10.1,11.7,1.1,0.6,5.8,19.5,3.6,1.9,5.5,0.112,1.7,-0.7,0.407,0.436,0.831,5.9,6.7,5.0,19.130434782608695,0,1
584,2005,Jerry Stackhouse,SG,30.0,DAL,56.0,1617.0,15.9,0.525,0.181,0.45,2.7,9.8,13.0,1.7,0.5,11.8,24.9,1.9,1.5,3.5,0.103,0.2,-1.2,0.267,0.446,0.849,5.9,6.7,2.4,5.533596837944663,0,1
586,2005,Clifford Robinson,C,38.0,GSW,42.0,1090.0,11.0,0.473,0.359,0.164,2.9,8.7,10.8,2.1,2.5,9.7,17.0,0.1,1.0,1.1,0.046,-1.8,0.7,0.331,0.436,0.603,-2.2,-1.4,2.8,60.86956521739131,0,0
590,2005,Eric Snow,SG,31.0,CLE,81.0,1844.0,9.0,0.445,0.138,0.245,2.3,7.7,25.1,1.9,0.6,19.7,11.1,0.5,1.4,1.9,0.05,-2.8,-0.8,0.289,0.397,0.738,0.6,2.1,2.1,60.86956521739131,0,0
592,2005,Antonio McDyess,PF,30.0,DET,77.0,1797.0,17.2,0.542,0.002,0.321,11.6,19.7,7.3,1.4,2.2,12.0,20.3,2.5,3.3,5.7,0.154,-0.8,1.0,0.0,0.514,0.656,4.3,7.6,4.6,4.284965034965033,0,0
593,2005,Ben Wallace,C,30.0,DET,74.0,2671.0,17.4,0.459,0.014,0.467,12.9,26.5,7.6,2.2,5.0,9.5,15.2,1.8,6.7,8.5,0.153,-1.5,5.4,0.111,0.458,0.428,4.3,7.6,10.1,82.6923076923077,0,1
594,2005,Rasheed Wallace,PF,30.0,DET,79.0,2687.0,16.4,0.499,0.222,0.184,7.7,20.3,9.8,1.3,3.2,10.0,22.3,2.0,5.1,7.1,0.127,-0.4,1.9,0.318,0.475,0.697,4.3,7.6,8.9,82.6923076923077,0,1
598,2005,Anthony Johnson,PG,30.0,IND,63.0,1747.0,14.3,0.526,0.237,0.248,2.2,9.9,31.2,1.9,0.7,16.0,16.5,2.2,1.8,4.0,0.11,0.4,-0.3,0.38,0.466,0.752,1.0,2.0,4.5,82.6923076923077,0,1
600,2005,Toni Kukoc,SF,36.0,MIL,53.0,1099.0,12.8,0.523,0.453,0.238,3.3,13.9,22.3,1.9,0.9,18.5,14.4,0.8,0.7,1.5,0.066,0.2,0.2,0.362,0.45,0.721,-3.0,-1.0,1.1,3.100961538461539,0,1
602,2005,Donyell Marshall,PF,31.0,TOR,65.0,1645.0,19.9,0.591,0.613,0.154,6.4,23.3,8.4,1.8,2.0,6.2,18.7,4.1,1.9,6.0,0.176,3.8,0.2,0.416,0.485,0.791,-1.8,-3.2,4.2,2.7564102564102564,0,1
603,2005,Jalen Rose,SF,32.0,TOR,81.0,2710.0,16.6,0.562,0.236,0.336,1.8,9.9,14.0,1.2,0.3,11.9,25.5,3.8,1.0,4.8,0.085,1.4,-2.2,0.394,0.473,0.854,-1.8,-3.2,1.2,1.6666666666666667,0,0
604,2005,Gary Payton,PG,36.0,BOS,77.0,2541.0,15.1,0.537,0.178,0.277,2.3,8.5,29.2,1.8,0.4,15.4,17.0,3.8,1.6,5.4,0.102,1.0,-1.3,0.326,0.498,0.761,0.8,-1.5,4.1,5.19230769230769,0,1
608,2006,Ray Allen,SG,30.0,SEA,78.0,3022.0,22.2,0.59,0.435,0.239,2.8,10.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.7,-3.1,0.412,0.486,0.903,-3.3,-3.0,6.3,3.7109375,0,1
611,2006,Eddie Jones,SG,34.0,MEM,75.0,2437.0,14.7,0.542,0.518,0.298,1.8,12.0,12.7,3.0,0.9,10.2,18.1,3.0,4.2,7.2,0.141,1.5,1.5,0.356,0.457,0.781,4.1,-5.2,3.0,-17500.000000000004,1,1
613,2006,Brent Barry,SG,34.0,SAS,74.0,1259.0,14.8,0.581,0.586,0.171,2.8,11.9,15.5,1.7,1.5,12.3,16.0,2.1,2.2,4.3,0.162,1.5,1.2,0.396,0.531,0.661,7.5,9.2,6.8,5012.028869286288,0,1
614,2006,Bruce Bowen,SF,34.0,SAS,82.0,2755.0,9.1,0.54,0.457,0.157,1.5,11.9,6.8,1.6,0.8,10.5,11.1,1.7,4.5,6.2,0.108,-0.6,2.6,0.424,0.44,0.607,7.5,9.2,4.1,-2919.911012235819,1,1
615,2006,Michael Finley,SG,32.0,SAS,77.0,2038.0,12.7,0.523,0.401,0.165,1.8,12.2,9.3,1.0,0.2,7.7,18.9,2.0,2.9,5.0,0.117,-0.1,-0.3,0.394,0.423,0.852,7.5,9.2,4.7,-458.8235294117644,1,1
616,2006,Robert Horry,PF,35.0,SAS,63.0,1182.0,13.5,0.499,0.493,0.233,7.3,16.7,10.1,2.0,3.1,11.3,14.7,1.0,2.5,3.6,0.145,-0.2,3.4,0.368,0.399,0.647,7.5,9.2,2.9,-1486.9281045751636,1,1
619,2006,Marcus Camby,C,31.0,DEN,56.0,1857.0,19.9,0.499,0.017,0.24,8.4,33.3,10.2,2.2,7.5,11.4,19.5,1.0,4.5,5.5,0.141,-2.2,6.0,0.091,0.472,0.712,0.3,1.7,7.6,127.27272727272727,0,1
620,2006,Sam Cassell,PG,36.0,LAC,78.0,2653.0,18.5,0.534,0.171,0.301,1.8,10.4,32.5,1.5,0.3,12.2,25.0,4.8,2.8,7.6,0.137,2.8,-1.0,0.368,0.459,0.863,1.6,-0.4,2.8,1.5833333333333335,0,1
621,2006,Cuttino Mobley,SF,30.0,LAC,79.0,2979.0,13.1,0.519,0.243,0.271,2.0,10.9,13.1,1.6,0.9,11.4,19.8,1.9,3.4,5.3,0.086,0.0,0.4,0.339,0.453,0.839,1.6,-0.4,4.6,7.571428571428569,0,0
626,2006,Jerry Stackhouse,SG,31.0,DAL,55.0,1525.0,14.5,0.511,0.216,0.367,2.6,9.4,18.0,1.3,0.5,14.7,25.2,1.2,1.2,2.4,0.076,0.0,-1.8,0.277,0.436,0.882,6.7,7.6,4.1,106.06060606060606,0,1
628,2006,Antonio Daniels,SG,30.0,WAS,80.0,2283.0,13.7,0.55,0.184,0.611,0.9,8.0,19.2,1.2,0.3,11.3,15.4,4.3,0.9,5.3,0.111,0.1,-1.6,0.228,0.461,0.845,1.9,-0.4,4.3,5.621212121212121,0,1
633,2006,Zydrunas Ilgauskas,C,30.0,CLE,78.0,2283.0,21.9,0.576,0.006,0.427,12.6,18.1,7.4,0.9,4.6,12.8,24.6,5.6,3.1,8.7,0.184,0.8,1.0,0.0,0.509,0.834,2.1,3.8,6.6,4.3939393939393945,0,1
634,2006,Donyell Marshall,PF,32.0,CLE,81.0,2077.0,13.4,0.517,0.589,0.183,5.9,22.3,4.8,1.5,1.5,11.0,18.2,1.4,2.8,4.2,0.097,-0.4,-0.3,0.324,0.496,0.748,2.1,3.8,3.8,-786.7494824016571,1,1
635,2006,Eric Snow,PG,32.0,CLE,82.0,2351.0,8.1,0.444,0.025,0.233,1.9,8.1,22.2,1.7,0.6,20.9,10.9,0.0,2.0,2.1,0.042,-3.1,0.5,0.1,0.416,0.688,2.1,3.8,2.8,2753.623188405797,0,0
636,2006,Allen Iverson,PG,30.0,PHI,72.0,3103.0,25.9,0.543,0.122,0.455,1.7,7.1,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,6.0,-2.5,0.323,0.465,0.814,-1.8,-3.2,4.6,-4675.963904840034,1,1
638,2006,Chris Webber,PF,32.0,PHI,75.0,2893.0,18.4,0.482,0.054,0.245,7.4,22.6,16.4,1.8,1.6,10.4,27.7,1.1,3.3,4.4,0.074,-0.9,0.5,0.273,0.443,0.756,-1.8,-3.2,3.3,-1111.1111111111118,1,0
641,2006,Jason Kidd,PG,32.0,NJN,80.0,2975.0,19.2,0.526,0.436,0.27,3.3,19.8,39.0,2.7,0.8,15.9,19.1,4.5,5.6,10.1,0.163,2.7,2.8,0.352,0.445,0.795,1.5,-0.9,9.3,-352.0352035203516,1,1
644,2006,Brevin Knight,PG,30.0,CHA,69.0,2351.0,17.3,0.478,0.017,0.407,1.6,9.9,42.3,3.4,0.1,15.3,20.3,2.5,2.5,4.9,0.101,0.4,-0.2,0.231,0.402,0.803,-4.4,-3.9,1.8,0.2519869097709211,0,1
647,2006,Ben Wallace,C,31.0,DET,82.0,2890.0,17.5,0.501,0.009,0.637,12.2,25.9,8.2,2.8,4.6,12.9,11.2,3.3,6.9,10.1,0.168,-0.6,6.4,0.0,0.514,0.416,7.6,4.8,8.2,0.8474446987032802,0,1
648,2006,Rasheed Wallace,PF,31.0,DET,80.0,2780.0,17.6,0.527,0.407,0.172,3.8,19.8,11.2,1.6,3.4,6.9,21.1,4.0,4.9,8.9,0.154,1.5,2.0,0.357,0.48,0.743,7.6,4.8,6.2,0.5254965110037576,0,1
651,2006,Gary Payton,PG,37.0,MIA,81.0,2305.0,10.7,0.52,0.42,0.23,1.8,9.7,16.7,1.6,0.3,14.5,14.1,1.8,2.3,4.1,0.085,-0.3,0.1,0.287,0.517,0.794,4.1,-1.2,1.3,-13658.536585365855,1,1
652,2006,Jason Williams,PG,30.0,MIA,59.0,1874.0,15.0,0.561,0.475,0.162,0.4,8.0,24.5,1.5,0.2,13.3,18.5,3.2,1.6,4.8,0.124,2.1,-1.6,0.372,0.506,0.867,4.1,-1.2,4.3,-2083.3333333333335,1,1
657,2007,Brad Miller,C,30.0,SAC,63.0,1783.0,13.5,0.508,0.067,0.302,5.1,21.7,20.4,1.1,1.7,16.2,16.8,1.0,1.7,2.7,0.072,-1.7,1.6,0.152,0.475,0.772,-1.6,-2.4,6.5,28148.148148148146,0,1
659,2007,Ray Allen,SG,31.0,SEA,55.0,2219.0,21.6,0.564,0.384,0.268,3.1,10.4,19.0,1.9,0.4,10.7,29.5,5.4,0.9,6.3,0.136,5.4,-2.1,0.372,0.479,0.903,-3.0,-8.6,9.7,950.0,0,1
660,2007,Rafer Alston,PG,30.0,HOU,82.0,3040.0,12.9,0.496,0.519,0.174,1.1,9.5,24.1,2.2,0.3,13.4,19.4,1.7,4.9,6.6,0.104,0.4,0.9,0.363,0.389,0.734,4.9,4.8,5.0,39.18750000000001,0,1
664,2007,Brevin Knight,PG,31.0,CHA,45.0,1273.0,14.3,0.487,0.05,0.353,1.3,9.7,37.5,2.7,0.2,18.5,18.4,0.7,1.1,1.8,0.07,-1.3,-1.0,0.056,0.438,0.805,-3.9,-4.5,2.1,950.0,0,1
666,2007,Jeff Foster,C,30.0,IND,75.0,1740.0,13.0,0.513,0.004,0.469,16.5,24.1,5.0,1.9,1.6,18.2,9.9,1.8,2.7,4.5,0.124,-1.4,2.3,0.0,0.471,0.639,-2.5,-1.2,6.5,18.51851851851852,0,0
670,2007,Bruce Bowen,SF,35.0,SAS,82.0,2464.0,7.1,0.511,0.497,0.156,1.2,9.4,7.0,1.3,0.7,11.5,10.9,0.4,3.6,4.1,0.079,-1.4,1.9,0.384,0.426,0.589,9.2,5.3,4.4,18.51851851851852,0,1
671,2007,Tim Duncan,C,30.0,SAS,80.0,2726.0,26.1,0.579,0.008,0.502,9.8,27.0,18.8,1.3,5.1,14.0,27.9,6.3,6.8,13.0,0.23,2.0,5.1,0.111,0.55,0.637,9.2,5.3,11.1,1.24401913875598,0,1
673,2007,Michael Finley,SF,33.0,SAS,82.0,1823.0,13.7,0.524,0.431,0.148,2.3,12.0,9.7,0.9,0.6,6.1,19.6,2.1,2.6,4.7,0.125,0.1,-0.6,0.364,0.448,0.918,9.2,5.3,4.2,1.7090909090909083,0,1
678,2007,Chauncey Billups,PG,30.0,DET,70.0,2533.0,21.3,0.591,0.388,0.536,1.1,10.0,32.9,1.8,0.5,12.2,21.5,8.7,2.7,11.4,0.216,5.4,-0.9,0.345,0.479,0.883,4.8,8.3,13.5,575.6578947368421,0,1
680,2007,Rasheed Wallace,C,32.0,DET,75.0,2419.0,15.7,0.513,0.351,0.163,4.4,22.2,8.9,1.7,3.8,9.4,19.6,1.8,4.4,6.2,0.123,-0.2,2.5,0.351,0.463,0.788,4.8,8.3,7.6,705.6451612903223,0,1
692,2007,Jerry Stackhouse,SF,32.0,DAL,67.0,1615.0,16.8,0.537,0.248,0.329,3.0,7.7,19.7,1.7,0.5,13.5,25.0,2.3,1.8,4.1,0.122,1.2,-1.1,0.383,0.443,0.847,7.6,4.8,2.3,-1371.9512195121952,1,1
693,2007,Marcus Camby,C,32.0,DEN,70.0,2369.0,19.1,0.519,0.003,0.335,7.9,30.5,14.1,1.8,7.0,13.9,15.9,2.5,5.1,7.6,0.155,-1.3,6.7,0.0,0.475,0.729,1.7,3.4,8.5,370.06578947368433,0,1
694,2007,Allen Iverson,SG,31.0,DEN,50.0,2121.0,18.4,0.545,0.152,0.46,0.9,7.1,28.3,2.1,0.4,15.1,27.1,2.9,1.7,4.6,0.105,1.6,-1.2,0.347,0.473,0.759,1.7,3.4,11.6,4755.434782608696,0,1
695,2007,Eduardo Najera,PF,30.0,DEN,75.0,1658.0,13.5,0.609,0.034,0.347,9.0,12.0,5.7,2.2,1.1,12.1,12.0,2.9,1.8,4.8,0.138,0.4,1.4,0.083,0.594,0.715,1.7,3.4,4.1,16.537815126050415,0,0
696,2007,Vince Carter,SG,30.0,NJN,82.0,3126.0,21.8,0.559,0.273,0.36,4.3,14.2,25.1,1.4,0.8,10.5,30.8,7.4,3.1,10.5,0.161,4.7,-0.6,0.357,0.491,0.802,-0.9,-5.4,7.7,9.044117647058822,0,1
697,2007,Jason Kidd,PG,33.0,NJN,80.0,2933.0,19.4,0.516,0.398,0.253,5.5,20.8,41.4,2.3,0.6,17.4,19.4,5.1,4.1,9.3,0.152,3.0,2.0,0.343,0.448,0.778,-0.9,-5.4,2.5,3.298442906574394,0,1
698,2007,Mikki Moore,C,31.0,NJN,79.0,2082.0,14.8,0.637,0.002,0.464,8.3,14.5,6.1,1.2,2.3,15.6,16.2,3.5,2.3,5.7,0.131,-0.7,0.8,0.0,0.61,0.681,-0.9,-5.4,4.6,12.49732620320855,0,1
700,2007,Cuttino Mobley,SG,31.0,LAC,78.0,2841.0,12.5,0.546,0.279,0.271,2.2,9.0,11.7,1.7,0.7,12.8,18.4,2.2,2.4,4.6,0.078,0.1,-0.5,0.411,0.451,0.837,-0.4,-7.5,2.1,4.437647058823529,0,0
701,2007,Antonio Daniels,SG,31.0,WAS,80.0,1761.0,15.0,0.572,0.162,0.643,1.1,8.9,24.3,1.1,0.4,12.1,14.2,4.1,0.2,4.3,0.116,0.3,-2.8,0.302,0.469,0.832,-0.4,-0.3,4.5,241.17647058823528,0,1
702,2007,Antawn Jamison,PF,30.0,WAS,70.0,2662.0,18.4,0.545,0.333,0.27,5.6,19.0,8.8,1.5,1.0,7.5,22.8,5.2,1.6,6.8,0.123,2.4,-1.5,0.364,0.492,0.736,-0.4,-0.3,9.2,71.05263157894737,0,1
703,2007,Derek Fisher,SG,32.0,UTA,82.0,2287.0,11.4,0.51,0.231,0.455,1.6,6.3,18.1,1.9,0.2,12.9,18.2,2.4,1.5,3.9,0.083,-0.4,-1.3,0.308,0.405,0.853,3.0,7.2,5.7,71.05263157894737,0,1
705,2007,Zydrunas Ilgauskas,C,31.0,CLE,78.0,2130.0,18.0,0.527,0.001,0.242,12.9,20.0,10.2,1.2,3.6,13.8,21.7,2.6,4.0,6.6,0.148,-0.6,2.6,0.0,0.486,0.807,3.8,-0.6,6.1,9.378947368421052,0,1
706,2007,Damon Jones,PG,30.0,CLE,60.0,1173.0,10.2,0.525,0.651,0.124,0.9,5.8,12.7,0.7,0.1,8.8,15.9,1.2,1.1,2.4,0.097,0.0,-2.1,0.385,0.387,0.682,3.8,-0.6,3.0,2325.5813953488387,0,0
713,2007,James Posey,SF,30.0,MIA,71.0,1919.0,12.7,0.579,0.6,0.227,4.2,17.5,7.7,2.0,0.9,10.4,13.1,2.6,2.6,5.2,0.13,0.7,1.1,0.375,0.514,0.827,-1.2,-9.4,6.2,491.94991055456194,0,1
715,2007,Jason Williams,PG,31.0,MIA,61.0,1865.0,15.0,0.54,0.518,0.181,1.2,7.6,28.3,1.7,0.0,14.0,18.2,2.8,1.5,4.3,0.11,1.7,-2.0,0.339,0.493,0.913,-1.2,-9.4,2.1,-1308.8155759870206,1,1
716,2007,Andre Miller,PG,30.0,PHI,57.0,2144.0,15.9,0.518,0.029,0.3,4.0,9.8,32.7,1.8,0.2,16.9,19.4,2.3,1.6,3.9,0.088,0.9,-0.3,0.053,0.477,0.808,-3.2,0.5,8.3,7789.987789987792,0,1
718,2007,Rasho Nesterovic,C,30.0,TOR,80.0,1676.0,13.9,0.558,0.002,0.119,8.0,17.4,7.0,1.1,3.9,11.2,13.8,1.9,2.2,4.1,0.118,-1.4,2.6,0.0,0.548,0.68,1.2,3.3,3.9,-336.8176538908242,1,0
719,2007,Anthony Parker,SG,31.0,TOR,73.0,2437.0,14.5,0.597,0.38,0.23,2.9,10.9,9.9,1.6,0.3,8.6,15.7,4.4,2.1,6.5,0.127,2.1,0.4,0.441,0.5,0.835,1.2,3.3,6.2,-318.68131868131854,1,1
721,2008,Ray Allen,SG,32.0,BOS,73.0,2624.0,16.4,0.584,0.458,0.24,3.6,8.3,14.6,1.3,0.5,10.4,21.6,5.6,4.1,9.7,0.177,3.2,-0.1,0.398,0.485,0.907,10.8,7.9,11.1,996.5635738831618,0,1
722,2008,Kevin Garnett,PF,31.0,BOS,71.0,2328.0,25.3,0.588,0.011,0.339,7.3,25.1,19.9,2.3,3.1,10.8,25.5,6.6,6.2,12.9,0.265,2.7,4.7,0.0,0.545,0.801,10.8,7.9,7.1,-613.1078224101485,1,1
723,2008,Paul Pierce,SF,30.0,BOS,80.0,2874.0,19.6,0.599,0.332,0.442,2.3,14.0,21.8,1.9,1.0,14.4,24.8,6.7,5.7,12.4,0.207,3.3,1.5,0.392,0.499,0.843,10.8,7.9,10.3,-952.6209677419351,1,1
724,2008,James Posey,PF,31.0,BOS,74.0,1821.0,12.0,0.587,0.674,0.278,2.1,18.0,9.5,2.1,0.9,12.3,13.5,2.2,4.0,6.2,0.164,0.5,2.4,0.38,0.496,0.809,10.8,7.9,4.2,-1814.516129032258,1,1
725,2008,Rafer Alston,PG,31.0,HOU,74.0,2526.0,13.2,0.492,0.44,0.148,1.3,10.2,25.2,2.1,0.5,14.0,20.7,1.0,4.0,5.0,0.095,0.2,0.7,0.351,0.427,0.715,4.8,4.2,2.9,-7933.333333333336,1,1
727,2008,Chauncey Billups,PG,31.0,DET,78.0,2522.0,23.6,0.619,0.39,0.498,2.0,8.1,34.7,2.2,0.5,13.0,23.0,10.2,3.4,13.5,0.257,6.8,-0.7,0.401,0.479,0.918,8.3,-0.6,9.9,-5037.037037037038,1,1
729,2008,Rasheed Wallace,C,33.0,DET,77.0,2346.0,17.2,0.523,0.362,0.172,4.3,21.8,9.7,2.1,4.3,8.4,20.5,2.5,5.1,7.6,0.155,0.6,3.4,0.356,0.476,0.767,8.3,-0.6,5.1,-6213.450292397662,1,1
732,2008,Bruce Bowen,SF,36.0,SAS,81.0,2448.0,7.0,0.527,0.502,0.161,1.6,9.6,5.5,1.2,0.7,9.1,9.9,0.9,3.4,4.4,0.085,-1.6,2.1,0.419,0.394,0.652,5.3,4.2,2.2,-38750.0,1,1
733,2008,Tim Duncan,C,31.0,SAS,78.0,2651.0,24.4,0.546,0.003,0.393,10.7,28.3,15.7,1.1,4.3,11.4,28.2,4.9,6.2,11.1,0.201,0.7,4.1,0.0,0.498,0.73,5.3,4.2,10.1,-396.000396000396,1,1
734,2008,Michael Finley,SG,34.0,SAS,82.0,2204.0,11.4,0.519,0.469,0.105,1.5,12.0,8.6,0.7,0.3,6.6,18.5,1.3,2.9,4.2,0.091,-0.6,-0.4,0.37,0.453,0.8,5.3,4.2,4.4,35.29411764705881,0,1
735,2008,Manu Ginobili,SG,30.0,SAS,74.0,2299.0,24.3,0.612,0.395,0.449,3.3,14.7,26.4,2.6,1.1,14.5,28.7,6.6,4.5,11.1,0.232,6.1,1.9,0.401,0.499,0.86,5.3,4.2,5.0,16.37704918032787,0,1
737,2008,Ime Udoka,PF,30.0,SAS,73.0,1316.0,11.5,0.528,0.44,0.155,3.3,17.0,7.7,2.3,1.0,12.6,16.7,0.2,2.6,2.8,0.102,-1.8,1.9,0.37,0.467,0.759,5.3,4.2,1.3,-6845.2380952380945,1,0
739,2008,Marcus Camby,C,33.0,DEN,79.0,2758.0,17.2,0.498,0.031,0.318,9.2,31.1,12.9,1.5,7.3,14.0,13.0,2.6,5.9,8.5,0.148,-1.8,6.6,0.3,0.455,0.708,3.4,3.4,5.2,7.727272727272729,0,1
740,2008,Anthony Carter,PG,32.0,DEN,70.0,1960.0,12.8,0.531,0.271,0.179,1.5,9.4,27.4,2.6,1.0,19.5,13.8,1.6,2.2,3.8,0.092,-0.7,0.1,0.349,0.499,0.753,3.4,3.4,1.8,5.700000000000001,0,0
741,2008,Allen Iverson,SG,32.0,DEN,82.0,3424.0,20.9,0.567,0.177,0.512,1.5,6.1,27.4,2.2,0.2,11.4,26.7,8.9,2.8,11.6,0.163,3.5,-1.9,0.345,0.482,0.809,3.4,3.4,2.7,-4201.559934318554,1,1
742,2008,Kenyon Martin,PF,30.0,DEN,71.0,2159.0,14.7,0.553,0.016,0.303,5.4,17.5,6.3,2.0,2.8,10.3,17.4,2.0,3.0,5.0,0.111,-1.5,1.6,0.182,0.544,0.58,3.4,3.4,4.0,-1095.2380952380952,1,1
744,2008,Vince Carter,SG,31.0,NJN,76.0,2959.0,18.8,0.55,0.212,0.333,4.4,13.4,25.2,1.6,0.9,10.9,25.6,5.5,2.2,7.7,0.126,3.3,-0.3,0.359,0.482,0.816,-5.4,-2.7,7.5,-142.2387136672852,1,1
745,2008,Jason Kidd,PG,34.0,NJN,51.0,1895.0,15.7,0.483,0.43,0.202,3.5,21.7,45.5,2.0,0.6,23.6,18.9,0.4,2.1,2.5,0.064,0.5,1.0,0.356,0.374,0.82,-5.4,-2.7,8.5,25241.379310344826,0,1
747,2008,Jason Kidd,PG,34.0,DAL,29.0,1011.0,18.4,0.536,0.311,0.221,4.3,16.8,41.1,3.3,0.8,23.2,16.1,1.6,1.7,3.3,0.157,2.4,2.6,0.461,0.411,0.815,4.8,2.0,8.5,16572.622779519334,0,1
749,2008,Jason Terry,SG,30.0,DAL,82.0,2579.0,17.8,0.574,0.36,0.221,1.4,7.7,17.5,1.8,0.5,7.7,21.7,6.1,2.5,8.6,0.16,3.7,-1.0,0.375,0.519,0.857,4.8,2.0,7.3,-547.3135525260627,1,1
751,2008,Antawn Jamison,PF,31.0,WAS,79.0,3061.0,20.3,0.525,0.25,0.309,8.0,23.3,7.2,1.9,0.9,6.6,25.9,6.0,3.2,9.2,0.144,1.8,-1.4,0.339,0.468,0.76,-0.3,-8.1,8.1,-432.90854572713647,1,1
752,2008,Derek Fisher,PG,33.0,LAL,82.0,2249.0,13.8,0.556,0.355,0.242,1.2,6.9,15.9,1.9,0.1,9.5,18.6,3.7,2.0,5.7,0.121,1.1,-1.5,0.406,0.453,0.883,7.3,7.9,6.3,45.78313253012048,0,1
753,2008,Jeff Foster,C,31.0,IND,77.0,1884.0,15.7,0.568,0.008,0.389,14.9,23.8,10.1,1.5,1.3,12.4,11.5,4.0,2.4,6.5,0.165,0.3,2.2,0.0,0.554,0.593,-1.2,-1.0,4.2,1.2938711367207965,0,0
755,2008,Zydrunas Ilgauskas,C,32.0,CLE,73.0,2222.0,18.7,0.522,0.001,0.276,13.1,22.2,8.5,0.8,4.3,12.0,22.9,2.9,3.2,6.1,0.131,-1.3,1.2,0.0,0.475,0.802,-0.6,9.6,5.6,5.585542168674698,0,1
757,2008,Anthony Johnson,PG,33.0,ATL,42.0,1121.0,12.0,0.503,0.236,0.12,1.8,8.4,27.9,2.0,0.5,15.1,13.4,1.1,0.7,1.8,0.077,-0.8,-1.5,0.429,0.431,0.813,-1.8,1.7,2.8,95.83333333333333,0,1
764,2008,Andre Miller,PG,31.0,PHI,82.0,3016.0,18.4,0.537,0.029,0.288,3.7,9.1,32.0,1.8,0.2,13.7,22.6,5.7,2.6,8.3,0.131,2.3,-0.6,0.088,0.504,0.772,0.5,0.2,8.8,95.83333333333333,0,1
765,2008,Brad Miller,C,31.0,SAC,72.0,2513.0,16.8,0.558,0.124,0.424,8.0,23.7,16.6,1.4,2.3,16.0,18.3,3.8,2.7,6.5,0.125,0.7,1.9,0.311,0.484,0.848,-2.4,-9.0,2.6,1.597222222222222,0,1
767,2008,Rasho Nesterovic,C,31.0,TOR,71.0,1486.0,16.1,0.565,0.006,0.105,10.3,17.0,8.9,0.7,2.8,10.9,17.4,2.3,1.6,3.9,0.125,-0.1,1.1,0.333,0.552,0.755,3.3,-3.0,2.2,2.198529411764706,0,0
