,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
116,1998,Otis Thorpe,PF,35.0,VAN,47.0,1574.0,13.0,0.523,0.009,0.395,7.3,19.7,16.3,1.0,1.0,18.6,17.5,0.9,0.4,1.4,0.041,-1.0,-0.1,0.0,0.481,0.694,-7.8,-9.3,3.7,111.39240506329114,0,1
117,1998,Danny Ferry,PF,31.0,CLE,69.0,1034.0,7.5,0.479,0.346,0.14,2.8,10.6,9.5,1.3,1.2,14.9,15.9,-0.4,1.4,1.0,0.049,-3.2,0.2,0.333,0.428,0.8,2.8,-1.9,1.7,26444.444444444445,0,1
124,1998,Sam Mitchell,SF,34.0,MIN,81.0,2239.0,15.8,0.539,0.054,0.365,6.0,13.4,7.6,1.5,0.7,6.6,19.7,4.7,1.4,6.1,0.131,0.4,-1.3,0.349,0.47,0.832,0.8,0.5,3.0,-19198.542805100184,1,1
125,1998,Terry Porter,PG,34.0,MIN,82.0,1786.0,17.3,0.586,0.404,0.338,2.4,8.2,23.5,1.8,0.6,13.6,19.1,4.3,0.9,5.2,0.139,2.9,-2.2,0.395,0.485,0.856,0.8,0.5,5.0,-1452.9914529914543,1,1
126,1998,Tim Hardaway,PG,31.0,MIA,81.0,3031.0,20.6,0.53,0.341,0.254,1.9,9.4,41.3,2.4,0.4,13.5,25.6,7.9,3.8,11.7,0.185,5.1,-0.5,0.351,0.472,0.781,5.2,5.8,5.4,-20341.88034188034,1,1
127,1998,Dan Majerle,SG,32.0,MIA,72.0,1928.0,12.2,0.562,0.672,0.116,3.0,13.0,13.0,1.9,0.6,12.3,12.7,2.8,2.5,5.3,0.131,1.3,1.1,0.376,0.507,0.784,5.2,5.8,3.5,-12830.188679245284,1,1
128,1998,Ron Harper,PG,34.0,CHI,82.0,2284.0,14.7,0.503,0.126,0.325,5.3,9.2,16.4,2.5,1.5,10.7,16.7,3.4,3.7,7.2,0.151,0.4,1.9,0.19,0.477,0.75,7.8,-10.4,1.2,-31481.481481481478,1,1
131,1998,Scottie Pippen,SF,32.0,CHI,44.0,1652.0,20.4,0.533,0.273,0.274,3.7,12.1,26.5,2.6,1.9,12.1,24.4,3.7,3.0,6.6,0.193,4.0,1.8,0.318,0.496,0.777,7.8,-10.4,4.9,-9730.639730639727,1,1
133,1998,Mark Jackson,PG,32.0,IND,82.0,2413.0,17.2,0.501,0.229,0.301,3.5,12.1,46.7,1.9,0.1,20.4,16.8,4.4,3.1,7.5,0.15,1.8,-0.1,0.314,0.447,0.761,6.8,4.3,3.8,-1096.2962962962965,1,1
135,1998,Reggie Miller,SG,32.0,IND,81.0,2795.0,19.8,0.619,0.353,0.407,2.1,7.6,11.1,1.5,0.3,9.1,23.9,9.2,2.8,12.0,0.206,5.3,-1.1,0.429,0.504,0.868,6.8,4.3,6.4,0.4821428571428571,0,1
