Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,FG%,3P%,2P%,eFG%,FT%,PF,Target
1982.0,Mike Newlin,SG,33.0,NYK,76.0,1507.0,11.5,0.519,0.037,0.239,2.7,4.3,16.1,1.1,0.1,13.3,21.4,1.1,0.4,1.5,0.049,-1.3,-3.3,0.465,0.304,0.471,0.471,0.857,194.0,
1982.0,Tom Owens,PF,32.0,IND,74.0,1599.0,14.9,0.53,0.003,0.355,9.4,16.0,12.2,1.2,1.3,15.7,22.7,1.1,2.1,3.2,0.095,-0.7,0.2,0.47,0.5,0.47,0.471,0.801,259.0,
1982.0,Sam Pellom,PF,30.0,ATL,69.0,1037.0,10.3,0.506,0.004,0.315,9.8,15.2,3.9,1.4,2.8,16.6,14.3,0.2,1.6,1.8,0.083,-2.9,1.5,0.454,0.0,0.456,0.454,0.772,164.0,
1982.0,Truck Robinson,PF,30.0,PHO,74.0,2745.0,16.1,0.548,0.001,0.329,8.4,20.4,9.7,0.7,0.6,13.5,22.4,2.9,4.0,6.9,0.121,-0.1,0.0,0.513,1.0,0.513,0.514,0.687,215.0,3.3
1982.0,Campy Russell,SF,30.0,NYK,77.0,2358.0,13.3,0.543,0.066,0.343,4.1,7.4,16.9,1.6,0.3,16.5,20.7,2.0,1.2,3.2,0.066,0.1,-1.3,0.478,0.439,0.481,0.492,0.776,221.0,
1982.0,James Silas,SG,32.0,CLE,67.0,1447.0,15.7,0.535,0.009,0.499,1.9,6.9,22.4,1.3,0.2,13.3,22.9,2.2,0.2,2.4,0.078,0.2,-3.1,0.438,0.0,0.442,0.438,0.86,109.0,
1982.0,Randy Smith,SG,33.0,NYK,82.0,2033.0,12.2,0.504,0.015,0.202,2.9,5.9,17.5,2.2,0.0,13.2,19.0,1.2,1.2,2.4,0.058,-1.0,-1.4,0.465,0.273,0.468,0.467,0.808,199.0,2.5
1982.0,Brian Taylor,PG,30.0,SDC,41.0,1274.0,13.7,0.588,0.192,0.335,2.4,6.7,23.4,1.7,0.4,17.9,14.7,2.3,0.0,2.3,0.085,1.3,-2.1,0.503,0.365,0.536,0.538,0.818,113.0,
1982.0,Foots Walker,PG,30.0,NJN,77.0,1861.0,11.8,0.492,0.024,0.513,1.9,7.3,26.7,3.0,0.2,18.8,12.2,1.4,2.8,4.2,0.108,-1.8,0.8,0.413,0.333,0.415,0.417,0.727,179.0,3.4
1983.0,Kareem Abdul-Jabbar,C,35.0,LAL,79.0,2554.0,23.6,0.619,0.002,0.302,7.6,17.6,10.8,1.1,3.5,12.6,24.6,8.0,2.9,10.9,0.205,3.6,0.3,0.588,0.0,0.589,0.588,0.749,220.0,8.9
1983.0,Tiny Archibald,PG,34.0,BOS,66.0,1811.0,12.3,0.509,0.043,0.535,1.5,3.9,28.0,1.0,0.1,19.3,18.3,1.7,1.2,2.9,0.077,-1.3,-3.0,0.425,0.208,0.435,0.429,0.743,110.0,1.4
1983.0,Fred Brown,PG,34.0,SEA,80.0,1432.0,17.7,0.546,0.045,0.101,2.5,4.6,26.0,1.9,0.5,12.9,23.9,2.3,1.3,3.6,0.12,1.4,-2.3,0.52,0.438,0.523,0.529,0.806,98.0,2.6
1983.0,Harvey Catchings,C,31.0,MIL,74.0,1554.0,9.8,0.51,0.0,0.467,9.8,18.6,6.0,0.8,5.3,25.9,8.5,0.3,2.8,3.1,0.096,-2.9,4.3,0.457,,0.457,0.457,0.674,224.0,1.3
1983.0,Dave Cowens,PF,34.0,MIL,40.0,1014.0,12.6,0.485,0.007,0.206,8.3,20.8,10.9,1.4,0.8,11.6,15.4,0.9,1.7,2.6,0.123,-1.1,1.5,0.444,0.0,0.447,0.444,0.825,137.0,
1983.0,Julius Erving,SF,32.0,PHI,72.0,2421.0,23.1,0.566,0.006,0.372,7.9,13.3,16.5,2.2,3.0,12.6,25.5,6.8,4.1,10.9,0.217,4.0,2.4,0.517,0.286,0.518,0.518,0.759,202.0,10.1
1983.0,George Gervin,SG,30.0,SAS,78.0,2830.0,20.5,0.561,0.021,0.39,4.4,9.1,14.0,1.4,1.3,12.0,29.1,7.6,1.8,9.4,0.159,2.7,-1.6,0.487,0.364,0.49,0.491,0.853,243.0,5.5
1983.0,Artis Gilmore,C,33.0,SAS,82.0,2797.0,21.2,0.668,0.007,0.559,12.1,25.8,6.1,0.7,3.7,18.7,19.4,7.5,3.5,11.0,0.189,2.5,1.1,0.626,0.0,0.63,0.626,0.74,273.0,6.7
1983.0,Steve Hawes,PF,32.0,TOT,77.0,1416.0,8.6,0.464,0.054,0.241,6.2,20.7,8.9,1.3,0.5,19.9,15.6,-1.0,2.0,1.0,0.035,-4.0,0.9,0.418,0.238,0.428,0.424,0.734,189.0,1.8
1983.0,Elvin Hayes,PF,37.0,HOU,81.0,2302.0,14.7,0.515,0.004,0.322,8.7,20.7,10.4,1.0,2.0,16.4,21.1,0.6,1.8,2.4,0.05,-1.5,0.2,0.476,0.5,0.476,0.478,0.683,232.0,
1983.0,Dan Issel,C,34.0,DEN,80.0,2431.0,21.6,0.573,0.015,0.37,6.3,18.6,12.6,1.5,0.9,10.4,25.5,6.8,1.5,8.4,0.165,2.9,-1.5,0.51,0.211,0.514,0.512,0.835,227.0,6.1
1983.0,Mickey Johnson,PF,30.0,TOT,78.0,2053.0,15.8,0.504,0.039,0.413,8.7,18.0,17.5,1.8,1.3,17.9,25.5,1.2,2.9,4.1,0.095,-0.4,0.7,0.425,0.083,0.438,0.426,0.821,288.0,3.5
1983.0,Bobby Jones,PF,31.0,PHI,74.0,1749.0,16.4,0.603,0.002,0.452,6.4,14.0,10.6,2.3,2.9,16.5,15.0,3.3,3.1,6.4,0.175,1.2,3.3,0.543,0.0,0.545,0.543,0.793,199.0,6.0
1983.0,Caldwell Jones,C,32.0,HOU,82.0,2440.0,12.3,0.505,0.003,0.304,9.2,20.9,7.9,0.9,3.0,18.2,15.4,0.4,2.1,2.5,0.05,-2.5,1.5,0.453,0.0,0.455,0.453,0.786,278.0,4.1
1983.0,Dwight Jones,PF,30.0,TOT,81.0,1164.0,9.2,0.495,0.003,0.378,7.9,20.6,6.7,1.2,1.0,21.0,16.1,-0.4,1.1,0.6,0.027,-3.9,-0.6,0.455,0.0,0.457,0.455,0.642,172.0,
1983.0,Billy Knight,SG,30.0,IND,80.0,2262.0,18.7,0.589,0.019,0.415,6.9,8.6,12.0,1.3,0.2,14.2,23.6,5.5,0.3,5.8,0.123,2.5,-2.7,0.52,0.158,0.527,0.522,0.841,143.0,3.4
1983.0,Sam Lacey,C,34.0,CLE,60.0,1232.0,6.5,0.451,0.034,0.14,5.6,16.0,13.1,1.2,1.2,25.9,12.9,-1.1,1.0,-0.1,-0.004,-4.2,1.4,0.42,0.222,0.427,0.424,0.784,209.0,
1983.0,Maurice Lucas,PF,30.0,PHO,77.0,2586.0,16.1,0.528,0.003,0.341,9.0,24.5,11.9,1.0,0.9,15.5,22.5,2.4,4.7,7.1,0.132,-0.6,1.0,0.474,0.333,0.474,0.474,0.781,274.0,6.4
1983.0,Bob McAdoo,C,31.0,LAL,47.0,1019.0,20.6,0.555,0.002,0.29,8.7,17.8,5.3,1.8,2.1,9.7,27.2,2.3,1.2,3.5,0.167,0.6,-2.2,0.52,0.0,0.52,0.52,0.73,153.0,2.7
1983.0,Tom McMillen,C,30.0,ATL,61.0,1364.0,10.8,0.522,0.002,0.314,4.5,12.4,7.9,0.6,1.0,14.2,17.2,0.7,1.3,2.0,0.071,-2.2,-0.4,0.467,0.0,0.468,0.467,0.812,143.0,2.4
1983.0,Calvin Murphy,PG,34.0,HOU,64.0,1423.0,14.8,0.498,0.019,0.199,2.4,3.2,18.2,1.9,0.2,9.8,25.5,1.3,0.4,1.6,0.055,0.1,-3.6,0.447,0.286,0.45,0.45,0.92,163.0,
1983.0,Truck Robinson,PF,31.0,NYK,81.0,2426.0,10.7,0.485,0.0,0.285,9.5,22.4,8.6,1.2,0.6,19.3,17.3,-1.0,4.2,3.3,0.065,-2.6,2.1,0.462,,0.462,0.462,0.587,241.0,3.2
1983.0,Phil Smith,SG,30.0,SEA,79.0,1238.0,11.7,0.495,0.02,0.333,2.4,8.5,22.8,1.7,0.3,18.2,18.1,0.4,1.2,1.7,0.065,-2.2,-0.8,0.438,0.375,0.439,0.441,0.759,113.0,
1983.0,Randy Smith,SG,34.0,TOT,80.0,1406.0,14.5,0.532,0.032,0.232,2.8,5.1,20.5,1.9,0.0,13.6,20.1,2.2,0.3,2.5,0.085,0.1,-3.4,0.483,0.167,0.494,0.486,0.87,139.0,
1983.0,Ricky Sobers,SG,30.0,WSB,41.0,1438.0,12.8,0.524,0.103,0.346,2.7,5.2,22.6,2.0,0.6,19.3,22.0,0.4,2.0,2.4,0.08,-0.6,0.1,0.438,0.418,0.441,0.46,0.832,158.0,2.9
1983.0,Foots Walker,PG,31.0,NJN,79.0,1388.0,11.4,0.548,0.048,0.596,2.5,8.5,23.5,2.6,0.1,24.8,11.9,1.3,2.2,3.4,0.118,-1.9,0.5,0.456,0.167,0.471,0.46,0.779,134.0,
1983.0,Bill Walton,C,30.0,SDC,33.0,1099.0,18.0,0.54,0.0,0.309,7.2,27.9,14.9,1.4,6.3,19.6,18.9,0.6,1.3,2.0,0.086,-1.1,3.6,0.528,,0.528,0.528,0.556,113.0,2.3
1983.0,Marvin Webster,C,30.0,NYK,82.0,1472.0,14.0,0.539,0.003,0.544,13.9,21.5,4.7,1.2,5.5,19.9,14.8,0.8,3.2,4.0,0.13,-2.1,3.8,0.508,0.0,0.509,0.508,0.589,210.0,2.5
1983.0,Scott Wedman,SF,30.0,TOT,75.0,1793.0,12.7,0.505,0.041,0.136,6.0,11.7,10.2,1.1,0.5,13.1,22.1,0.9,1.3,2.2,0.058,-0.6,-1.0,0.475,0.313,0.481,0.481,0.794,228.0,
1983.0,Paul Westphal,SG,32.0,NYK,80.0,1978.0,14.1,0.516,0.069,0.266,1.1,5.8,33.4,2.2,0.5,20.2,20.9,1.0,2.7,3.7,0.091,-0.7,-1.1,0.459,0.292,0.471,0.469,0.804,180.0,
1983.0,Brian Winters,SG,30.0,MIL,57.0,1361.0,12.1,0.484,0.116,0.145,3.0,5.8,16.6,1.6,0.2,11.5,21.4,0.7,1.4,2.1,0.074,-0.7,-1.6,0.434,0.324,0.449,0.453,0.859,132.0,
1984.0,Kareem Abdul-Jabbar,C,36.0,LAL,80.0,2622.0,21.3,0.608,0.001,0.318,7.8,16.8,11.5,1.0,2.9,13.5,25.1,5.9,3.1,8.9,0.163,2.4,0.4,0.578,0.0,0.579,0.578,0.723,211.0,11.2
1984.0,Tiny Archibald,PG,35.0,MIL,46.0,1038.0,10.6,0.526,0.065,0.362,1.8,6.3,21.1,1.6,0.0,19.4,16.3,0.3,1.1,1.4,0.065,-2.1,-1.0,0.487,0.222,0.506,0.495,0.634,78.0,
1984.0,Junior Bridgeman,SF,30.0,MIL,81.0,2431.0,14.3,0.508,0.028,0.222,3.9,11.3,16.7,1.1,0.3,11.0,23.4,2.1,3.0,5.1,0.1,-0.4,-0.6,0.465,0.194,0.473,0.468,0.807,224.0,3.1
